"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"come along",0,3,0,0,0,1,1,0,0,2,0,0,1,0,2,0,0,0
"come ask",0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
"come back",11,20,9,9,4,10,5,9,3,6,4,4,5,6,7,8,6,4
"come boy",1,2,2,1,1,2,2,0,2,2,1,0,1,0,1,0,0,0
"come butter",0,0,0,0,0,6,2,1,4,3,3,1,0,0,0,1,0,1
"come can",0,3,2,0,0,2,0,1,4,0,0,3,1,2,0,2,0,0
"come cant",0,0,1,2,0,0,1,1,0,1,1,0,0,0,0,1,3,0
"come cartman",3,4,4,1,3,2,0,1,0,0,0,0,0,0,1,0,1,1
"come children",2,2,2,1,0,2,1,0,1,4,0,0,0,0,0,0,0,0
"come clean",0,0,0,0,1,1,1,1,0,0,0,0,3,0,0,1,1,0
"come closer",0,2,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"come come",3,6,3,5,4,3,10,7,2,5,1,1,4,3,7,2,3,1
"come come come",0,0,1,2,1,0,1,0,0,0,0,0,0,0,2,0,1,0
"come dad",0,0,0,0,0,0,3,3,1,0,1,0,1,0,0,0,0,1
"come didnt",0,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
"come dont",0,2,3,2,1,1,2,1,2,3,1,3,0,1,1,4,2,1
"come dude",1,8,2,2,4,0,2,1,1,1,1,1,4,2,3,2,1,1
"come ere",0,3,0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0
"come eric",1,4,2,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
"come everi",0,0,2,2,0,2,0,0,0,0,0,0,0,0,2,2,1,0
"come everi time",0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,1,1,0
"come everybodi",3,1,2,3,1,2,2,1,2,4,0,0,0,0,0,2,0,0
"come everybodi let",1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"come everyon",0,0,2,1,0,2,1,0,1,1,1,1,2,0,0,1,0,1
"come forward",0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0
"come get",1,4,3,1,3,1,2,0,4,1,0,0,0,3,0,1,2,2
"come go",0,1,6,2,0,3,0,4,1,0,1,1,0,1,3,1,0,1
"come gonna",0,1,2,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
"come good",0,0,1,0,2,0,0,0,0,0,0,1,0,2,1,0,1,0
"come gotta",0,0,4,3,2,5,4,1,3,1,1,0,0,0,0,0,0,0
"come gotta go",0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"come guy",6,8,11,8,7,10,15,8,5,5,6,2,5,5,4,12,1,5
"come guy let",2,1,2,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1
"come hello",0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"come help",0,2,0,1,0,2,1,0,0,0,0,0,1,3,2,0,0,1
"come hey",1,2,2,0,2,0,0,0,1,0,0,0,0,0,2,0,0,1
"come home",1,7,7,1,0,3,3,1,0,2,1,0,0,0,1,3,1,0
"come home right",0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
"come honey",0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,2
"come hous",1,0,2,0,2,0,0,0,0,3,0,1,0,0,0,0,1,0
"come hurri",1,0,1,2,1,0,0,1,1,0,0,1,0,0,1,1,0,0
"come ill",0,4,1,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0
"come im",3,2,1,1,3,0,3,2,1,4,1,0,2,0,1,1,0,0
"come im gonna",0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"come join",1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"come just",1,2,2,0,1,4,0,1,1,0,2,0,3,4,0,3,2,1
"come kenni",4,1,3,3,4,0,2,2,0,0,0,1,1,0,1,1,0,1
"come kid",1,1,2,1,1,1,0,1,2,2,1,0,0,0,3,0,0,0
"come know",0,0,2,0,1,3,2,0,0,1,0,0,3,0,0,1,0,1
"come kyle",2,2,2,3,1,1,3,2,1,1,1,0,4,0,1,1,2,0
"come let",6,8,7,10,2,4,5,7,5,4,3,3,5,2,4,5,1,0
"come let get",0,2,1,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"come let go",4,3,3,5,1,2,2,4,3,3,2,2,1,0,3,1,0,0
"come like",0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"come littl",3,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
"come look",0,0,1,0,1,1,0,0,1,1,0,1,2,1,1,1,1,0
"come mom",0,1,0,3,0,1,0,0,2,0,0,1,0,1,0,1,0,0
"come mr",0,2,0,0,0,0,3,3,3,2,1,0,0,0,0,0,1,0
"come must",0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
"come new",0,0,1,1,2,0,0,2,0,1,0,0,0,0,1,0,0,0
"come next",1,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,2,0
"come now",1,1,2,6,4,9,3,1,1,3,2,3,2,2,6,2,1,2
"come now come",0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"come oh",0,1,5,5,1,2,4,2,3,0,1,1,1,0,1,6,0,0
"come okay",0,2,1,1,1,0,2,1,0,1,0,0,0,0,2,0,0,0
"come one",0,2,0,1,0,0,1,1,0,1,0,2,2,0,1,0,1,0
"come peopl",1,0,0,0,1,0,2,4,1,6,0,1,0,2,1,1,0,1
"come play",0,2,1,1,2,1,2,2,0,0,1,0,0,0,2,1,0,1
"come pleas",0,0,0,1,1,1,0,0,0,2,0,0,1,1,0,0,1,1
"come quick",0,0,2,1,2,2,1,1,1,0,3,2,0,0,1,0,0,0
"come randi",0,0,1,0,1,0,0,0,1,0,3,0,1,1,0,0,0,0
"come realli",1,1,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,2
"come right",8,1,2,1,2,3,1,1,0,0,0,1,0,2,1,1,0,0
"come room",0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"come say",1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0
"come school",2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0
"come see",0,3,6,5,4,2,0,3,1,1,2,0,1,1,0,1,0,0
"come show",0,2,0,1,1,4,0,1,1,2,0,0,4,0,0,0,0,0
"come son",2,2,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0
"come soon",0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0
"come south",3,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,1,0
"come south park",3,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,1,0
"come stan",9,5,2,0,2,1,3,1,2,1,1,1,1,0,0,1,0,1
"come stanley",0,2,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0
"come take",0,2,1,0,0,1,3,2,1,0,0,0,1,0,0,1,0,0
"come talk",0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1
"come tell",0,0,2,0,0,0,1,1,0,2,1,0,1,0,0,1,0,1
"come think",1,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0
"come time",0,1,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"come togeth",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
"come town",1,0,2,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
"come true",0,0,0,0,0,2,0,1,0,0,1,1,3,0,0,0,1,0
"come uh",1,0,2,1,2,1,0,1,1,1,2,1,0,0,0,0,0,0
"come us",1,0,0,3,1,4,3,4,2,2,5,1,1,0,1,3,0,1
"come visit",0,2,2,2,0,0,1,1,0,0,0,0,0,1,0,1,0,0
"come wanna",0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"come want",0,1,2,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0
"come way",1,1,1,2,1,0,5,1,2,1,1,1,2,0,0,1,2,1
"come well",1,1,5,3,2,1,3,1,1,1,0,0,4,0,1,1,0,0
"come wendi",1,1,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0
"come weve",0,4,2,3,0,3,0,2,5,3,1,1,0,2,0,0,1,0
"come weve got",0,1,2,2,0,0,0,1,1,2,0,0,0,2,0,0,0,0
"come weve gotta",0,3,0,1,0,3,0,1,4,1,1,1,0,0,0,0,1,0
"come yeah",0,1,1,1,1,0,3,0,2,0,0,1,1,1,1,0,1,0
"come youv",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1
"comedi",0,3,1,0,9,1,9,0,2,1,1,1,7,0,42,1,0,0
"comedian",0,0,1,0,1,0,0,0,0,1,1,0,2,0,7,1,0,0
"comfort",0,2,0,0,3,3,1,1,0,0,0,0,0,0,0,0,2,4
"comic",0,1,0,0,3,0,0,2,2,0,0,0,0,0,1,1,0,0
"comin",2,6,0,3,3,6,4,1,7,4,1,2,1,3,1,4,7,3
"command",0,2,7,2,1,2,0,2,8,2,0,1,1,2,3,1,2,0
"comment",0,1,3,0,1,0,0,0,1,0,1,0,0,5,0,0,0,34
"commerci",3,9,3,3,2,47,15,0,0,1,2,1,3,2,3,6,3,2
"commi",1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"commiss",0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"commission",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,1
"commit",2,1,7,3,3,5,2,5,1,0,2,2,3,1,1,1,2,0
"committe",0,4,0,3,1,1,0,0,0,0,5,0,1,0,0,0,0,0
"common",0,2,0,7,1,0,0,1,3,1,1,4,4,2,0,1,2,1
"communic",2,3,3,3,0,2,0,2,1,0,0,1,0,0,0,1,1,0
"communist",0,0,0,1,0,1,0,0,3,0,1,1,2,0,0,0,0,0
"communiti",2,6,1,1,3,2,5,5,6,1,1,0,1,1,0,3,0,3
"communiti center",0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,2,0,0
"compani",0,9,3,3,17,8,33,2,2,1,1,1,27,14,11,9,12,61
"compani well",0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
"compar",0,0,1,1,0,0,1,1,0,2,1,0,0,0,2,0,0,1
"compass",0,0,0,1,1,0,1,0,0,0,1,2,1,0,0,5,0,0
"compens",0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,2,0,1
"compet",1,1,3,2,0,1,0,10,1,0,0,0,0,1,0,0,0,5
"competit",0,2,0,0,0,4,0,13,0,0,0,0,0,3,0,1,1,2
"complain",0,2,0,1,1,2,0,2,1,0,0,1,1,0,3,1,0,1
"complaint",0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,0,0,1
"complet",5,7,5,7,7,13,2,5,9,13,10,8,5,12,7,11,5,12
"complet control",0,0,1,0,0,1,0,0,0,2,1,1,0,0,0,0,0,1
"complex",0,0,0,1,0,0,1,3,0,1,0,0,0,3,1,0,0,0
"complic",0,0,1,1,0,1,0,0,1,0,0,0,0,4,0,1,1,0
"compound",0,0,1,3,0,0,0,2,0,0,0,0,1,0,1,1,0,0
"compromis",1,0,1,1,0,0,1,0,2,1,2,0,0,0,1,0,2,1
"comput",2,4,0,6,9,2,5,3,1,12,2,5,3,6,3,0,8,14
"comrad",1,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0
"con",0,0,1,7,4,1,0,0,0,0,0,0,0,2,4,0,0,0
"concentr",2,2,1,2,7,0,0,1,1,0,2,3,1,1,0,1,0,2
"concept",0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,2
"concern",1,3,4,3,5,0,2,2,2,1,2,2,3,3,2,6,6,3
"concert",2,2,11,8,0,0,2,0,2,0,0,0,9,3,0,0,1,2
"conclus",2,0,0,2,0,0,1,0,2,1,1,0,2,0,1,1,0,1
"condit",0,2,1,2,6,8,2,5,2,0,2,1,1,2,11,1,0,2
"condom",0,0,0,0,29,0,0,1,0,0,0,1,4,0,1,0,0,0
"conduct",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2
"confer",0,1,0,0,0,0,0,1,2,0,2,0,2,2,1,0,0,0
"confess",0,0,2,25,3,1,9,0,0,0,0,0,0,0,0,0,3,0
"confid",1,0,0,0,1,0,0,0,0,3,0,1,0,1,0,1,2,0
"confirm",1,0,0,1,0,0,0,1,2,1,0,1,1,1,1,3,1,1
"conflict",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5,1,3
"conformist",0,0,0,0,0,0,8,1,0,0,0,1,0,1,0,0,4,0
"confus",2,5,5,3,4,2,3,0,7,4,19,3,3,4,1,3,1,8
"congratul",1,3,3,3,4,3,3,4,4,2,5,4,3,0,2,4,1,3
"connect",0,4,1,1,0,1,0,0,0,1,1,1,0,1,4,1,2,3
"conscious",0,1,1,1,0,0,0,5,0,0,5,0,0,0,0,0,0,0
"consequ",0,1,0,1,2,3,0,0,0,0,0,0,1,1,0,0,2,0
"consid",0,6,2,5,6,2,1,3,1,2,2,2,3,1,1,0,5,1
"consist",0,2,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0
"constant",0,0,1,0,1,0,0,0,0,1,2,0,1,0,3,0,0,0
"construct",0,0,1,3,0,3,1,1,0,0,0,2,0,0,1,0,1,0
"consum",0,0,0,1,0,0,0,2,3,0,0,0,0,2,0,0,0,2
"contact",4,0,5,0,2,1,3,0,0,1,0,1,7,0,2,4,1,0
"contain",0,0,0,0,1,0,0,0,4,1,1,5,1,2,3,1,0,2
"contamin",0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
"contest",10,7,6,1,2,2,0,0,5,0,0,0,2,0,0,6,0,1
"continu",3,4,3,6,7,5,4,2,5,7,1,1,3,4,3,2,1,3
"contract",0,1,0,0,2,0,0,0,3,0,4,0,0,0,1,1,0,0
"control",11,6,9,6,2,19,11,4,7,12,25,8,9,9,12,4,7,10
"conveni",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,6,2,1
"convent",0,0,0,1,1,0,0,1,0,0,1,0,3,0,0,0,0,0
"convers",0,4,0,0,0,3,0,0,0,1,1,1,1,0,2,0,4,2
"convert",0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0
"convict",0,2,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0
"convinc",0,3,0,6,2,3,0,1,2,4,2,0,5,3,1,1,2,3
"cook",3,4,2,1,0,1,0,2,0,2,1,0,2,11,1,1,0,0
"cooki",3,14,7,8,0,4,1,1,0,0,0,0,2,0,0,0,4,0
"cool",34,39,68,32,31,56,46,21,8,17,19,28,26,31,29,28,23,19
"cool cool",2,2,2,0,0,0,0,0,0,1,0,1,0,0,2,0,5,0
"cool dont",0,2,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1
"cool dude",0,2,2,0,1,0,0,2,0,0,0,0,0,1,2,0,0,1
"cool guy",0,2,1,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0
"cool hey",4,2,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0
"cool im",0,0,1,0,0,0,2,0,0,2,2,2,0,0,0,1,0,1
"cool just",0,1,0,0,1,2,1,0,0,1,0,0,0,1,0,1,0,0
"cool know",0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0
"cool now",2,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,0,0
"cool oh",1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
"cool okay",0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
"cool right",0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1
"cool see",0,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"cool stuff",1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"cool thank",0,1,0,1,0,0,0,2,0,0,0,0,2,0,1,0,0,1
"cool well",0,0,0,2,0,2,1,0,0,0,0,1,0,2,1,1,0,0
"cool yeah",3,1,1,0,2,5,0,0,1,0,1,2,3,2,1,1,0,0
"cooler",1,1,2,2,0,2,1,0,1,0,0,1,0,0,0,0,1,0
"coolest",3,0,3,0,2,3,0,3,0,0,1,0,0,0,0,0,0,0
"coool",1,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0
"cooper",0,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"cop",1,5,0,4,10,0,5,5,2,0,0,11,12,5,4,0,5,4
"copi",0,4,2,3,3,5,6,9,0,1,6,5,5,4,1,4,1,2
"core",0,1,0,2,3,0,2,0,0,0,0,0,0,0,0,0,1,1
"corn",5,3,2,0,1,0,1,1,2,1,0,4,0,1,1,5,0,0
"corner",4,1,1,2,0,1,1,0,2,0,0,0,1,1,0,0,2,0
"corpor",1,28,0,1,1,1,1,4,13,1,0,3,2,0,2,0,2,1
"correct",1,1,6,4,0,1,0,1,0,2,0,1,3,2,3,0,2,3
"corrupt",0,0,1,0,0,2,2,1,1,0,0,0,1,0,0,1,0,1
"cost",3,4,1,1,2,2,6,2,4,1,0,1,4,0,0,7,1,0
"costum",32,4,19,6,0,2,0,3,0,9,1,3,3,15,1,13,0,0
"cotton",0,2,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"couch",1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,2
"cough",1,0,1,0,1,0,1,19,0,0,1,2,0,0,0,0,0,1
"couldnt",8,15,4,6,13,11,8,4,5,8,9,4,9,5,10,11,10,5
"couldnt get",1,4,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,1
"couldnt help",2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"couldnt just",0,0,0,0,1,1,0,0,0,3,0,0,0,1,2,0,1,0
"couldnt take",0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
"couldv",0,3,1,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"council",0,0,0,1,0,1,1,1,3,0,4,0,10,0,4,0,0,0
"counselor",3,10,2,7,2,5,3,1,3,0,2,0,0,14,1,3,3,1
"count",1,4,1,11,2,3,2,7,2,6,4,3,1,2,2,3,0,3
"counter",0,0,0,2,0,0,0,0,0,2,0,0,2,1,0,2,0,1
"counti",0,0,0,0,2,0,3,12,3,12,1,2,2,0,0,0,0,0
"countri",3,11,20,21,21,17,50,5,10,7,4,24,24,19,17,21,8,5
"countri can",0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
"countri peopl",0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,4,0,0
"coupl",3,13,7,4,5,3,2,2,17,2,1,7,3,2,6,8,3,2
"coupl day",2,7,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
"coupl hour",0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"coupon",0,0,0,0,1,0,0,1,0,0,0,3,1,0,4,0,0,0
"courag",0,3,0,2,2,8,1,1,1,1,1,2,1,0,1,3,1,0
"cours",17,24,25,20,18,17,15,14,14,11,16,9,19,10,23,14,7,18
"cours hes",0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
"cours know",0,0,2,0,1,1,0,2,0,0,0,0,2,2,0,0,0,0
"cours think",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0
"court",0,4,5,8,2,0,3,2,5,0,6,0,0,0,0,3,0,0
"cousin",1,7,0,0,17,0,0,0,1,0,8,1,0,0,0,1,0,0
"cover",10,4,1,10,11,3,12,2,3,6,4,0,2,8,5,6,1,5
"cow",32,45,1,2,3,36,1,15,0,4,0,1,6,1,0,2,22,0
"cowboy",6,4,8,0,2,2,0,1,1,0,2,0,0,1,1,0,0,5
"crab",0,0,1,0,1,0,20,5,4,0,0,0,3,1,0,0,0,0
"crabtre",2,14,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"crack",6,3,3,0,5,2,5,0,1,1,0,0,0,1,45,0,0,1
"cracker",4,1,3,14,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"craig",0,0,47,4,4,6,8,38,5,2,9,40,5,0,10,6,9,26
"craig craig",0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
"crap",27,26,20,30,11,39,14,13,17,33,68,18,20,18,31,14,6,7
"crap dont",0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,1,2,0
"crap dude",1,5,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0,0
"crap guy",0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
"crap now",2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"crap oh",0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1
"crap pant",1,0,9,1,0,1,0,3,0,2,0,0,0,0,10,1,0,0
"crappi",0,1,3,3,2,4,1,3,3,0,0,3,4,1,0,3,1,0
"crash",0,1,0,0,1,1,0,1,2,2,0,0,0,4,2,1,2,0
"crawl",3,1,0,4,0,0,1,0,0,2,0,0,1,2,0,0,0,0
"crazi",13,9,4,10,12,4,9,6,10,1,7,6,5,13,6,5,5,9
"crazi stuff",1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"cream",13,11,7,3,4,2,5,5,3,2,5,8,1,0,2,0,0,4
"cream oh",1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"creat",3,4,5,5,2,5,2,0,0,2,0,0,4,3,3,2,1,4
"creativ",0,1,0,1,1,1,1,1,1,0,2,1,1,0,0,0,0,0
"creator",0,0,1,1,0,2,0,2,0,0,3,0,1,0,0,0,1,0
"creatur",7,6,7,1,0,2,0,3,1,2,0,9,4,5,3,5,0,5
"credibl",0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,1,0,0
"credit",2,4,3,0,2,0,2,3,0,4,0,3,12,3,4,1,0,0
"credit card",2,1,3,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0
"creek",0,0,0,8,3,0,1,0,0,0,0,0,0,0,1,1,0,0
"creep",0,0,1,0,1,0,1,0,4,0,3,0,0,0,0,0,0,0
"creepi",1,1,1,1,0,0,0,0,1,0,0,0,0,2,0,2,1,0
"crew",1,1,0,1,2,0,1,7,0,1,0,1,10,0,0,0,0,0
"cri",6,5,4,15,9,3,2,7,7,2,4,2,3,5,7,3,2,1
"crime",1,9,3,21,0,2,17,9,0,7,0,0,9,6,1,2,4,1
"crimin",1,0,0,0,0,0,2,0,0,1,0,1,4,0,1,0,1,0
"crippl",0,0,0,1,5,1,16,0,0,0,0,0,4,2,0,0,0,4
"crisi",1,3,0,0,0,1,0,0,1,1,0,3,4,8,1,3,0,9
"crispi",0,2,1,0,0,0,4,0,1,0,0,0,1,2,0,0,0,0
"critic",1,6,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
"cross",4,3,13,5,2,7,6,1,7,2,5,1,3,0,4,2,0,0
"crow",1,0,1,1,1,19,0,0,0,3,0,0,0,0,0,0,0,0
"crowd",0,4,2,1,4,0,2,1,7,1,9,0,2,0,0,0,3,1
"crown",1,0,5,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0
"cruel",1,0,3,2,1,1,0,0,1,0,2,0,0,1,0,0,0,0
"cruis",3,0,0,0,0,0,0,0,20,1,0,0,0,27,0,4,0,0
"crunch",0,1,1,0,0,2,0,0,0,0,1,0,0,25,1,0,0,0
"crunchi",0,2,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0
"crush",1,0,0,2,1,0,0,1,0,4,0,0,3,0,2,3,2,1
"crust",1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"cryin",0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0
"crystal",0,0,3,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0
"cult",0,3,10,1,3,0,1,0,4,0,1,0,0,12,0,0,0,0
"cultur",2,1,4,1,0,1,10,1,0,1,2,3,1,0,3,7,0,3
"cup",0,8,2,0,0,2,6,1,0,2,0,0,4,1,0,0,0,1
"cure",5,1,0,3,3,1,10,2,14,0,2,11,1,1,1,0,0,1
"current",0,6,0,2,2,1,1,3,1,0,3,2,3,6,0,0,0,1
"curs",1,0,0,0,30,0,0,0,3,0,1,2,0,7,2,0,0,1
"custom",1,1,0,1,1,2,5,1,0,0,1,0,7,1,1,5,2,39
"cut",10,22,9,16,7,15,7,6,7,3,4,2,9,6,2,16,10,3
"cut crap",0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1
"cute",5,3,7,3,1,0,4,4,2,0,3,3,0,5,0,9,2,0
"cute littl",1,2,4,2,0,0,0,1,1,0,2,0,0,1,0,3,0,0
"cycl",3,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"dad",27,34,72,49,49,30,66,54,75,43,47,44,29,57,31,37,16,55
"dad butter",0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,3
"dad can",0,0,1,3,0,1,2,0,2,2,1,2,0,0,0,0,0,0
"dad cant",0,1,1,1,0,0,3,1,1,0,1,0,0,0,0,0,0,0
"dad come",0,1,0,0,1,0,3,2,0,0,0,0,1,0,1,0,0,0
"dad dad",0,0,3,0,1,1,1,2,3,5,1,3,1,1,3,0,0,1
"dad didnt",0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
"dad dont",0,1,2,1,0,4,4,1,2,2,0,2,1,1,0,1,0,1
"dad get",0,0,0,0,1,0,0,1,2,2,1,1,0,0,0,2,0,1
"dad go",0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,2
"dad gonna",1,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0
"dad gotta",0,0,0,0,1,0,0,2,1,0,0,1,0,1,0,0,0,0
"dad hell",1,0,0,1,0,1,0,0,2,1,1,1,0,0,0,0,0,0
"dad hes",1,0,2,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1
"dad hey",0,1,3,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
"dad im",0,0,1,1,0,1,1,1,2,2,1,1,0,3,1,0,0,1
"dad just",0,0,1,1,1,0,2,1,1,2,0,2,1,3,0,1,2,0
"dad know",0,0,1,0,0,0,1,1,2,0,1,0,1,1,0,0,0,2
"dad love",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,2,1
"dad mean",0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
"dad need",0,1,2,0,0,0,2,1,2,0,1,1,0,0,1,1,0,2
"dad now",1,2,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"dad oh",0,1,4,3,2,1,1,2,1,0,1,2,0,1,0,2,0,0
"dad realli",0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0
"dad right",0,0,1,0,0,0,3,0,1,0,1,0,0,1,2,0,0,1
"dad said",0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1
"dad say",0,1,0,1,1,0,0,2,2,2,1,0,0,1,0,1,1,0
"dad see",0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,2
"dad stan",0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,0,0,1
"dad stop",0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
"dad think",0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0
"dad want",1,0,0,0,0,0,1,1,1,3,0,2,0,0,0,0,0,1
"dad well",0,1,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
"dad will",1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
"dad youv",0,0,2,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0
"daddi",1,1,1,3,32,1,4,7,12,0,2,3,15,3,2,2,16,1
