"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"address",0,2,1,0,3,0,0,0,2,1,6,1,1,1,2,1,1,1
"adjust",0,1,1,2,0,0,1,0,0,0,0,0,0,0,5,0,0,1
"administr",0,0,1,0,0,1,0,1,0,1,0,1,0,0,2,5,0,0
"admit",3,2,1,8,1,6,1,2,7,1,3,4,12,8,9,4,7,3
"admit im",1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0
"adopt",4,5,2,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0
"ador",1,0,1,3,1,0,1,3,1,1,1,1,4,1,1,4,1,0
"adult",0,1,4,12,0,5,0,2,1,2,2,1,1,4,0,1,3,1
"advanc",1,2,1,1,0,2,2,1,0,3,0,4,0,1,0,0,0,3
"advantag",0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,5,0,2
"adventur",1,1,0,1,1,8,5,2,0,27,0,2,5,2,1,3,0,0
"advic",3,1,1,4,2,2,0,1,1,2,0,0,0,0,0,1,0,0
"advis",0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,1
"affect",0,2,1,3,2,1,1,3,0,1,1,3,2,4,1,2,0,3
"afford",4,2,2,2,1,6,3,4,0,0,1,0,4,2,2,3,3,1
"afraid",7,15,12,27,17,11,10,12,16,17,6,6,11,10,10,10,4,3
"afraid cant",0,1,0,3,0,0,1,0,2,1,2,1,1,2,1,1,0,1
"afraid just",1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1
"afraid son",0,0,0,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0
"africa",7,0,4,0,0,0,2,0,0,1,2,0,1,1,0,0,0,1
"africanamerican",0,0,0,5,0,1,0,7,1,0,5,0,0,2,0,0,3,0
"afternoon",0,3,3,4,3,2,2,1,1,3,0,3,5,1,2,3,0,0
"afterward",0,1,1,4,0,1,2,1,1,2,1,0,0,1,4,0,0,0
"age",1,2,4,8,8,7,3,11,3,3,3,2,1,2,3,4,0,4
"agent",0,1,0,2,0,3,3,0,10,1,0,0,2,0,0,0,1,0
"agh",1,0,5,5,8,3,0,2,3,4,4,4,2,1,2,2,1,2
"ago",7,12,12,12,8,13,18,13,11,8,6,10,10,10,9,13,2,6
"agre",1,3,6,9,4,6,10,7,2,8,6,3,8,4,39,5,16,7
"agreement",0,2,0,0,0,0,0,0,0,0,5,0,1,0,10,0,0,1
"ah ah",0,0,0,1,3,2,2,0,3,0,0,2,4,1,0,0,2,0
"ah butter",0,0,0,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0
"ah dont",0,1,0,1,2,7,1,3,2,2,2,1,0,1,1,3,1,0
"ah dont know",0,1,0,0,1,3,1,0,2,1,0,1,0,1,0,0,1,0
"ah good",0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,1,0
"ah hey",0,0,0,1,2,3,0,1,0,0,1,0,1,0,0,0,0,0
"ah im",1,2,1,0,6,8,4,5,1,1,2,3,1,1,2,4,3,1
"ah im just",0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
"ah im sorri",0,0,0,0,4,1,1,1,0,0,1,2,0,0,0,3,2,0
"ah just",0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,2,1,0
"ah know",0,0,1,0,3,0,0,1,1,0,0,0,0,0,1,0,0,1
"ah look",0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
"ah mean",0,1,0,1,2,2,0,1,1,1,0,0,0,1,0,0,0,0
"ah oh",0,0,0,3,1,0,4,0,0,1,0,1,2,1,0,0,0,0
"ah okay",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
"ah right",0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0
"ah thank",0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,2,0
"ah think",2,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,1,0
"ah yes",0,0,0,1,2,0,2,1,0,0,1,1,0,0,0,0,2,1
"aha",2,5,3,3,1,4,2,1,2,3,0,0,2,4,2,2,0,1
"ahah",1,1,1,1,3,3,0,2,1,0,1,1,0,0,0,0,0,0
"ahead",5,10,10,10,3,17,14,12,5,13,11,9,8,5,8,12,4,11
"ahead go",0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0
"ahead kyle",0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1
"ahem",2,1,2,0,1,1,0,0,0,1,2,0,0,0,0,1,0,1
"ahh",8,1,0,2,2,4,4,3,3,8,7,4,1,2,3,2,3,4
