"Character" "Season" "Episode"
" Ethiopians
" "01" "08"
" Sally Struthers
" "01" "08"
" A Couple in Love
" "01" "08"
" TV Announcer
" "01" "08"
" Stan Marsh
" "01" "09"
" Kyle Broflovski
" "01" "09"
" Eric Cartman
" "01" "09"
" Kenny McCormick
" "01" "09"
" Wendy Testaburger
" "01" "09"
" Chef
" "01" "09"
" Jimbo Kern
" "01" "09"
" Sheila Broflovski
" "01" "09"
" Gerald Broflovski
" "01" "09"
" Mr. Hankey
" "01" "09"
" Mayor McDaniels
" "01" "09"
" Mr. Garrison
" "01" "09"
" Officer Barbrady
" "01" "09"
" Randy Marsh
" "01" "09"
" Father Maxi 
" "01" "09"
" Mr. Mackey
" "01" "09"
" Mental House Receptionist
" "01" "09"
" Tree Huggers
" "01" "09"
" Santa Claus
" "01" "09"
" Jesus Christ
" "01" "09"
" Stan Marsh
" "01" "10"
" Kyle Broflovski
" "01" "10"
" Eric Cartman
" "01" "10"
" Kenny McCormick
" "01" "10"
" Damien Thorn
" "01" "10"
" Satan
" "01" "10"
" Jesus Christ
" "01" "10"
" Roland
" "01" "10"
" Jimbo Kern
" "01" "10"
" Ned Gerblansky
" "01" "10"
" Father Maxi
" "01" "10"
" Mr. Allen
" "01" "10"
" Mr. McDonald
" "01" "10"
" Michael Buffer
" "01" "10"
" Mr. Garrison
" "01" "10"
" Clyde Donovan
" "01" "10"
" Wendy Testaburger
" "01" "10"
" Red
" "01" "10"
" Bebe Stevens
" "01" "10"
" Pip Pirrup
" "01" "10"
" Chef
" "01" "10"
" Liane Cartman
" "01" "10"
" Don King
" "01" "10"
" Referee Mills Lane
" "01" "10"
" Groundskeeper
" "01" "10"
" Stan Marsh
" "01" "11"
" Kyle Broflovski
" "01" "11"
" Eric Cartman
" "01" "11"
" Kenny McCormick
" "01" "11"
" Mr. Garrison
" "01" "11"
" Mr. Hat
" "01" "11"
" Photo Dojo Photographer
" "01" "11"
" Ms. Ellen
" "01" "11"
" Principal Victoria
" "01" "11"
" Wendy Testaburger
" "01" "11"
" Bebe Stevens
" "01" "11"
" Clyde Donovan
" "01" "11"
" Tom
" "01" "11"
" Hakeem Korashki
" "01" "11"
" Iraqis
" "01" "11"
" Mrs. Campbell
" "01" "11"
" Chef
" "01" "11"
" Female Singer
" "01" "11"
"Stark's Pond: she comes up behind him and says, \"Hi, Stan\"
" "01" "11"
"Stark's Pond: she asks him to come with her (to get Cartman)
" "01" "11"
"Cafeteria: she hands him a note (an invitation to Stark's Pond)
" "01" "11"
"Cemetery: amid a field of dead zombies, she puckers up
" "01" "11"
"Classroom: she hands him a daisy (he throws up with every step she takes)" "01" "11"
"A vivid sunset: she snuggles up to him on the limb of a tree
" "01" "11"
"Football practice: she cheers him on, he throws up, she looks away for an instant, and Cartman tackles him. Where's his helmet?
" "01" "11"
"Cafeteria: he throws up as she approaches; she slips in it and falls flat on her back
" "01" "11"
"Playground: Stan and Kyle are working those hobby elephants furiously when Wendy and Bebe approach (he threw up on her three times)
" "01" "11"
"Woods: Stan and Wendy pucker up to kiss (after they got Ike back)" "01" "11"
" Stan Marsh
" "01" "12"
" Kyle Broflovski
" "01" "12"
" Eric Cartman
" "01" "12"
" Kenny McCormick
" "01" "12"
" Mr. Garrison
" "01" "12"
" Barbra Streisand
" "01" "12"
" Leonard Maltin
" "01" "12"
" Sidney Poitier
" "01" "12"
" Tiny twin Japanese princesses
" "01" "12"
" Robert Smith
" "01" "12"
" Dave, the anchor
" "01" "12"
" Reporter
" "01" "12"
" Quadriplegic Swiss man on a pony
" "01" "12"
" Anthropologist
" "01" "12"
" Ike Broflovski
" "01" "12"
" Milo
" "01" "12"
" Singer
" "01" "12"
" Sheila Broflovski
" "01" "12"
" Chef
" "01" "12"
" Director
" "01" "12"
" Officer Barbrady
" "01" "12"
" Stan Marsh
" "01" "13"
" Kyle Broflovski
" "01" "13"
" Eric Cartman
" "01" "13"
" Kenny McCormick
" "01" "13"
" Liane Cartman
" "01" "13"
" Chief Running Water
" "01" "13"
" Ute Indians
" "01" "13"
" Grandpa Marsh
" "01" "13"
" Mr. Mackey
" "01" "13"
" Chef
" "01" "13"
" Mr. Garrison
" "01" "13"
" Mr. Hat
" "01" "13"
" Sharon Marsh
" "01" "13"
" Randy Marsh
" "01" "13"
" 1989/1991 Denver Broncos
" "01" "13"
" Jimbo Kern
" "01" "13"
" Ned Gerblansky
" "01" "13"
" Officer Barbrady
" "01" "13"
" Mephesto
" "01" "13"
" Jesus Christ
" "01" "13"
" Principal Victoria
" "01" "13"
" Mayor McDaniels
" "01" "13"
" Halfy
" "01" "13"
" Bob Saget
" "01" "13"
" Announcer
" "01" "13"
" Announcers 1 and 2
" "02" "01"
" Terrance
" "02" "01"
" Phillip
" "02" "01"
" Scott the Dick
" "02" "01"
" Judge
" "02" "01"
" Ugly Bob
" "02" "01"
" Celine Dion
" "02" "01"
" Sally
" "02" "01"
" Saddam Hussein
" "02" "01"
" Iraqi Soldiers
" "02" "01"
" American Soldiers
" "02" "01"
" Delivery Man
" "02" "01"
" Jury Forewoman
" "02" "01"
" Stan Marsh
" "02" "02"
" Kyle Broflovski
" "02" "02"
" Eric Cartman
" "02" "02"
" Kenny McCormick
" "02" "02"
" Liane Cartman
" "02" "02"
" Chief Running Water
" "02" "02"
" Sid Greenfield, Los Angeles director for America's Most Wanted
" "02" "02"
" John Walsh
" "02" "02"
" Boom Mic Operator and Cameraman
" "02" "02"
" Director's Assistant
" "02" "02"
" Mr. Mackey
" "02" "02"
" Gerald Broflovski
" "02" "02"
" Sheila Broflovski
" "02" "02"
" Chef
" "02" "02"
" Mr. Garrison
" "02" "02"
" Mr. Hat
" "02" "02"
" 1989/1991 Denver Broncos
" "02" "02"
" Jimbo Kern
" "02" "02"
" Ned Gerblansky
" "02" "02"
" Officer Barbrady
" "02" "02"
" Mephesto
" "02" "02"
" Kevin, The Monkey Boy
" "02" "02"
" Mayor McDaniels
" "02" "02"
" Eric Roberts
" "02" "02"
" Dr. Doctor
" "02" "02"
" Nurse Goodly
" "02" "02"
" Unplanned Parenthood counselor
" "02" "02"
" Congressman O'Reilly
" "02" "02"
" Bill Clinton
" "02" "02"
" Stan Marsh
" "02" "03"
" Kyle Broflovski
" "02" "03"
" Eric Cartman
" "02" "03"
" Kenny McCormick
" "02" "03"
" Kevin McCormick
" "02" "03"
" Mr. Garrison
" "02" "03"
" Mr. Hat
" "02" "03"
" Randy Marsh
" "02" "03"
" Booktastic Bus Driver
" "02" "03"
" Officer Barbrady
" "02" "03"
" COPS television crew
" "02" "03"
" Rancher
" "02" "03"
" Mayor McDaniels
" "02" "03"
" Ted
" "02" "03"
" Johnson
" "02" "03"
" Reporters
" "02" "03"
" Halfy
" "02" "03"
" Stuart McCormick
" "02" "03"
" Mrs. McCormick
" "02" "03"
" Stan Marsh
" "02" "04"
" Kyle Broflovski
" "02" "04"
" Eric Cartman
" "02" "04"
" Kenny McCormick
" "02" "04"
" Mr. Mackey
 Devil Mackey
 Angel Mackey
" "02" "04"
" Devil Mackey
" "02" "04"
" Angel Mackey
" "02" "04"
" Gerald Broflovski
" "02" "04"
" Sheila Broflovski
" "02" "04"
" Uncle Murray
" "02" "04"
" Mr. Allen
" "02" "04"
" Dr. Schwartz
" "02" "04"
" Chef
" "02" "04"
" Mr. Garrison
" "02" "04"
" Mr. Hat
" "02" "04"
" Ike Broflovski
" "02" "04"
" Jimbo Kern
" "02" "04"
" Ned Gerblansky
" "02" "04"
" Principal Victoria
" "02" "04"
" Bartender
" "02" "04"
" Hap
" "02" "04"
" Mr. Freely
" "02" "04"
" Bum
" "02" "04"
" Train Station Clerk
" "02" "04"
" Sylvester
" "02" "04"
" The A-Team
 Mr. T
" "02" "04"
" Mr. T
" "02" "04"
" Betty Ford Clinic Counselor
" "02" "04"
" Stan Marsh
" "02" "05"
" Kyle Broflovski
" "02" "05"
" Eric Cartman
" "02" "05"
" Kenny McCormick
" "02" "05"
" Pip Pirrup
" "02" "05"
" Bebe Stevens
" "02" "05"
" Clyde Donovan
" "02" "05"
" Mr. Mackey
" "02" "05"
" Sheila Broflovski
" "02" "05"
" Gerald Broflovski
" "02" "05"
" Sharon Marsh
" "02" "05"
" Randy Marsh
" "02" "05"
" Chef
" "02" "05"
" Ms. Crabtree
" "02" "05"
" Nurse Gollum
" "02" "05"
